2016/11/01,"Satterfield, Rau and Leannon","Graham, Hoeger and Kerluke",25957.06
2017/07/23,Bergnaum and Sons,Hilpert and Sons,52353.34
2015/07/27,Schowalter and Sons,"Aufderhar, Murphy and Torp",40409.47
2015/04/26,"Rogahn, Larkin and Schultz",Ledner-Baumbach,29590.48
2016/09/17,"Shields, Von and Will","Berge, Ratke and Abbott",79703.71
2017/05/22,Bergstrom LLC,Kshlerin Group,24000.43
2017/08/26,"Considine, Lindgren and Lind","Steuber, Kreiger and Ernser",43206.24
2014/09/26,"Baumbach, Zboncak and Mraz",Runolfsson-Ratke,15152.63
2015/01/14,"Flatley, Hills and Sawayn",Gutkowski-Bartoletti,7225.55
2016/10/27,"Dietrich, Predovic and Cruickshank",Hettinger LLC,92096.44
2017/04/12,Walter-Mitchell,O'Connell-Konopelski,89881.58
2015/10/02,"Collier, Harvey and Schmeler",Fay-Flatley,70522.39
2016/04/17,"Crooks, Shields and Corwin",Wuckert Group,69249.17
2015/01/25,"Greenholt, O'Reilly and Will","Heathcote, Will and Russel",40944.18
2017/06/10,McGlynn-Leannon,Kiehn and Sons,31574.29
2015/11/06,Jacobs Inc,"Barton, Keeling and Muller",88002.58
2015/12/27,Yost Group,McLaughlin LLC,96045.79
2016/12/20,Satterfield Group,"Emard, Koelpin and Padberg",16785.1
2016/09/03,Block and Sons,"Hirthe, Johnson and Pacocha",6388.66
2015/04/20,Simonis Inc,Wisoky Inc,47936.79
2017/05/09,"Wisozk, Sanford and Kling",Goodwin Inc,36189.78
2015/05/03,Dibbert and Sons,Altenwerth-Rempel,62501.05
2017/04/06,Mraz LLC,Padberg-Runolfsson,75264.64
2017/02/12,"Goyette, Pagac and Reichert","Turcotte, Jerde and Bosco",83611.18
2014/10/28,Berge-Homenick,Vandervort Group,69885.06
2016/02/18,Hodkiewicz LLC,Jaskolski and Sons,4865.39
2015/12/12,"Parisian, Schmidt and Greenholt",Gusikowski Inc,27548.92
2017/06/12,Jakubowski-VonRueden,Kuphal and Sons,28770.3
2016/10/13,Luettgen-Block,Aufderhar and Sons,22201.46
2015/09/26,Emard-Collier,Schaden-Kris,14614.54
2015/09/21,Zieme-Schowalter,"Kassulke, Grady and Schuppe",24105.7
2017/01/09,Dare Group,"Fritsch, Collins and Carroll",94284.4
2015/11/12,Hickle-Nienow,Braun-Collier,63845.91
2017/07/29,Bailey-Mills,Schoen-Romaguera,16139.21
2016/07/21,"Stroman, Carter and Hahn","Rippin, Ortiz and Wilderman",86899.34
2016/02/17,Effertz-Reichel,"Waelchi, Koelpin and Stiedemann",58314.39
2015/11/09,Greenholt Group,"Hauck, Armstrong and Rempel",86265.66
2016/04/22,Bednar LLC,Gusikowski-Bauch,48524.44
2014/10/21,"Rice, Windler and Harvey",Veum-McKenzie,84066.41
2015/07/08,"Corwin, Yundt and Kling","Koss, Brakus and Altenwerth",19329.77
2015/05/14,Lehner and Sons,"Reinger, Stracke and Heathcote",15989.32
2014/09/17,Wisoky-Christiansen,Wiegand-Rippin,94412.42
2015/10/24,Franecki-Carter,Stracke-Swift,5446.99
2015/05/21,Gleichner Inc,Nader LLC,76135.55
2015/05/20,Ward-Koss,Donnelly and Sons,20486.0
2017/02/08,"Labadie, Schimmel and Wolf",Wiegand LLC,40971.8
2015/05/07,Breitenberg-Runte,Gleason-Adams,10914.5
2017/09/24,"Mante, Padberg and Purdy",Wunsch-Wintheiser,26613.4
2017/05/10,Lowe-Romaguera,"Konopelski, Champlin and Hudson",90618.8
2017/01/17,Grant-Conroy,Lesch Group,83175.0
2015/01/07,"Zieme, Raynor and Halvorson",O'Conner-Bechtelar,30410.79
2015/10/17,"Marvin, Frami and Jerde",Homenick Inc,61718.15
2016/01/29,Lind LLC,Huels LLC,58802.91
2016/07/01,Fisher-Dach,Luettgen-Lueilwitz,25262.0
2016/09/14,Torp-Cruickshank,Parker-Rodriguez,19385.54
2015/06/24,Pacocha-Walter,Gottlieb Inc,74770.06
2015/11/05,Bins-Carter,"Heller, Hamill and Parisian",87054.77
2014/12/10,"Sauer, Heller and Marquardt",Mertz and Sons,44681.04
2017/08/27,Littel Inc,Bode and Sons,29299.46
2017/07/26,Reilly-Block,Daugherty-Ondricka,3358.01
2016/11/24,Dicki-Buckridge,"MacGyver, Eichmann and Renner",10039.78
2015/04/29,"Kub, Sporer and Ziemann",Langosh-Funk,99105.84
2017/09/06,Quigley-Stehr,Anderson Inc,21071.91
2016/11/02,Boehm Group,Gutkowski-Kozey,21278.69
2016/03/21,Bashirian-Pfannerstill,"Shields, Kemmer and Fisher",95907.37
2015/04/22,Daniel-Christiansen,Weber Group,98385.26
2014/12/28,Swift-Kuhic,Leuschke-Moen,45900.07
2017/03/03,Nader LLC,Zulauf and Sons,93660.53
2014/12/29,"Collins, Hills and Kirlin",Gottlieb LLC,47695.42
2015/09/05,"Stracke, Roberts and Prosacco","Erdman, Halvorson and Kling",87821.39
2017/03/16,"Hilll, Miller and Waelchi",Buckridge-Stamm,40987.35
2017/05/07,Mills LLC,"Konopelski, Torphy and Brown",42740.5
2015/01/16,Hackett-Quitzon,"Ruecker, Rath and Moore",16958.11
2015/11/04,Hettinger-Olson,"Berge, O'Keefe and Abshire",87277.22
2016/01/21,"Auer, Greenholt and Mayer",Rutherford LLC,93652.46
2016/06/11,"Willms, Fahey and Walter","Cruickshank, Rau and Hane",88854.68
2017/08/06,"Romaguera, Torp and Thompson",Steuber Group,38293.27
2015/11/18,"Kuvalis, Armstrong and Windler",Bruen and Sons,78531.39
2015/06/17,Hudson LLC,Shanahan LLC,34659.94
2014/11/23,"McClure, Homenick and Heathcote","Thompson, Harris and Dicki",58469.24
2015/12/16,"Okuneva, Rempel and Reichert","Wehner, Rodriguez and Keeling",31114.43
2016/04/04,"Hammes, Murray and Streich",Oberbrunner-DuBuque,62452.09
2015/01/10,Witting-Schultz,Strosin-Steuber,17811.49
2017/02/15,Hudson Group,Kling LLC,14249.19
2016/01/21,"Mante, Hoeger and Torp",Gaylord-Rowe,27724.43
2015/12/15,Emard-Heidenreich,Bernier LLC,57533.71
2016/08/07,"Kessler, Runte and Brekke",Schmitt-Feest,41220.55
2015/02/09,"Corkery, Krajcik and Willms",Hansen-Hartmann,31493.43
2016/04/04,Klocko-Hoppe,Dare Inc,27067.78
2015/12/15,Rutherford-Windler,"O'Conner, Price and Ryan",60367.23
2016/07/25,Hyatt Group,Labadie-Christiansen,86384.71
2016/10/02,Langworth and Sons,"Rolfson, Blick and Toy",50587.21
2017/09/27,Dare and Sons,"Kris, Wolf and Kris",97454.57
2015/10/18,"Smith, Wyman and Halvorson","Simonis, Pollich and Raynor",40169.66
2015/09/07,"Rice, Stokes and Grant",Cormier LLC,58384.36
2016/10/04,Turner LLC,Haley LLC,76301.55
2016/04/16,Waters-Nitzsche,"Rippin, Streich and Beer",61111.39
2016/03/24,Klocko-Feeney,Schowalter-Toy,77152.44
2017/08/31,"Beahan, Shields and Terry","Luettgen, Dibbert and Mitchell",62971.71
2017/03/28,Quitzon-Borer,Rempel Inc,65051.0
2015/07/25,Johns-Price,Yundt Group,49695.5
2015/07/08,Cummerata and Sons,Kerluke and Sons,71650.09
2016/08/13,Rogahn LLC,Runolfsdottir Inc,28986.83
2017/05/30,"Thiel, McDermott and Herman","Ziemann, Kunze and Batz",86199.88
2016/12/17,Corkery-Mayer,"Huels, Ziemann and Wiegand",15222.14
2015/11/09,Emard-Sporer,Mann-Ebert,9172.03
2017/06/06,Upton Inc,Wilkinson-Brown,92062.0
2015/05/10,"Pollich, Maggio and Beahan",Koch and Sons,83988.82
2015/12/23,Corkery-Cremin,"Reichert, Stark and Cummings",52227.98
2016/01/03,Herzog-Maggio,Thompson and Sons,94369.5
2017/07/31,Leannon-Considine,King-Conn,21924.61
2016/03/29,Schmidt-Waters,Stiedemann-Grant,53934.23
2016/10/18,"Spinka, Gislason and Weber",Zemlak-Rau,69869.55
2015/01/24,"Anderson, Gerlach and Batz","Funk, Schuster and Crona",89240.56
2015/11/02,"Zemlak, Volkman and Blanda","Vandervort, Deckow and Gusikowski",60243.29
2015/04/27,Grady LLC,Crooks-Rau,93942.12
2017/08/08,Gibson and Sons,Luettgen LLC,33965.14
2016/07/10,"Lehner, Hermann and Abernathy",Welch Inc,81123.04
2017/09/13,Prosacco LLC,Wintheiser Inc,26216.72
2015/09/10,Kunze Group,"Prosacco, Barton and Roob",6440.11
2016/04/20,Moore Inc,Hettinger-Zieme,72572.37
2017/05/22,Mohr Group,Schaden-Reichert,35324.72
2016/10/06,Zulauf Inc,Abernathy LLC,87569.88
2014/10/12,Cummings Group,"Frami, Brekke and Goyette",51861.08
2017/02/13,"Boyle, Beahan and Anderson",Kozey and Sons,29320.71
2015/03/11,Langosh-Grimes,"Feest, Schowalter and Senger",48889.86
2016/06/03,"Price, Carroll and Champlin",Morar-Crona,12637.52
2016/01/28,Little Inc,Watsica and Sons,84267.83
2016/12/03,Kunde-Rodriguez,Rohan-Aufderhar,4871.71
2015/04/19,"Berge, Dibbert and Conroy",Pacocha Group,46388.34
2015/06/05,Harber-Gleason,Gutkowski and Sons,26242.19
2017/08/10,Gislason-Purdy,Heidenreich-Dietrich,60664.02
2015/09/25,Wyman LLC,"Bahringer, Rolfson and Halvorson",90847.92
2014/12/07,"Kemmer, Hane and Heidenreich","Feil, Gerlach and Pouros",64234.9
2016/10/06,"Jaskolski, Lesch and Mueller",Kerluke-Bogisich,85782.59
2014/11/29,Upton-Cremin,Grady-Block,96356.44
2015/09/22,Marquardt-Jast,Leffler and Sons,28097.89
2016/12/02,"Beahan, Sawayn and Ernser","VonRueden, Pagac and Doyle",86016.43
2016/10/18,Schoen-Heidenreich,Koepp-Keebler,59039.57
2017/05/07,Larkin-Nikolaus,Smith-Ward,66296.35
2015/06/27,"Kuphal, McCullough and Romaguera","Gerlach, Effertz and Hayes",72156.46
2015/10/08,Kunde Group,McKenzie Group,11990.77
2017/03/28,"Rogahn, Miller and Adams",Farrell and Sons,45277.75
2016/03/01,Ritchie Inc,"Lind, Oberbrunner and O'Hara",69117.38
2014/10/10,"Blanda, Kilback and Schmidt",Lind Inc,12917.65
2016/12/06,Gleichner Inc,"Howell, Weissnat and Friesen",53029.98
2016/08/01,Nolan LLC,Okuneva and Sons,44804.06
2016/12/16,"Schultz, Lehner and Murazik",Heaney-Okuneva,92785.78
2017/05/31,Kozey-Abernathy,"King, Kuphal and Hand",57623.66
2016/08/05,"Parker, Murray and Kuhlman","Homenick, Swift and Bartoletti",37329.9
2016/12/19,"Pagac, Lebsack and Deckow","Cruickshank, Murazik and Marvin",10515.73
2015/09/09,Block Group,Pouros Group,80054.21
2017/06/21,"Emmerich, Rempel and Langworth",Wyman-Halvorson,3921.26
2015/07/29,"Tromp, Roob and Schmeler","Witting, Fadel and Armstrong",30083.77
2016/04/05,"Russel, Kozey and Daugherty",Dietrich Inc,24790.23
2016/11/02,Rice and Sons,"Lang, Ferry and Cassin",64874.67
2016/02/11,Renner Group,Daniel Group,65271.1
2016/05/28,Oberbrunner-Schuster,Kulas and Sons,66906.36
2016/03/26,"Funk, Stracke and Harvey","Moen, Yundt and Grimes",64033.87
2016/02/07,Hettinger LLC,"Harber, Satterfield and Goyette",79819.5
2016/09/28,Orn Group,Torphy-Boyer,93679.75
2016/11/09,Zemlak LLC,"Doyle, Oberbrunner and Baumbach",77047.6
2017/08/26,"Rempel, O'Connell and Ferry","Weimann, Murphy and Cormier",53180.41
2015/12/31,"Lebsack, Eichmann and Gerhold","Ortiz, Pouros and Rohan",61700.7
2016/09/09,Ziemann LLC,Jakubowski LLC,29494.59
2017/01/07,Schowalter LLC,"Predovic, Schuppe and Okuneva",85547.57
2015/10/16,Koepp LLC,Konopelski LLC,65644.61
2015/10/19,Rowe Group,Lebsack-Kassulke,61834.73
2016/02/15,"Vandervort, Olson and Powlowski","Balistreri, Purdy and Waelchi",73275.41
2016/06/14,Kulas Group,Christiansen and Sons,36685.24
2015/03/31,"Mills, Romaguera and Kunze",Cassin and Sons,83263.52
2017/04/14,Thompson-Tromp,"Lindgren, Deckow and Kuhic",76962.24
2016/05/23,Abshire Inc,Kuphal-Schinner,60165.31
2015/05/11,Kertzmann-Hahn,"White, Osinski and Wisoky",36799.67
2015/03/03,Hackett-Pacocha,Sporer-Leffler,31099.92
2014/10/31,"Ward, Renner and Maggio","Hodkiewicz, Stanton and Greenholt",96625.06
2017/09/28,Moore Group,Mills Group,31937.56
2014/09/27,Spencer-Reichel,Schmitt-Pfeffer,16347.83
2016/10/27,Witting-Cummerata,Heidenreich Group,37823.5
2015/09/26,"Jakubowski, Brekke and Daniel","Purdy, Bruen and Marks",63217.73
2017/01/25,Dibbert-Kling,Weber Inc,9979.09
2014/12/12,"Robel, Kiehn and Barrows",Mohr-Ferry,95563.82
2015/06/14,Miller and Sons,Adams-Ratke,98546.66
2016/02/28,DuBuque-Langworth,Mayer-Wilkinson,94470.74
2015/12/11,Vandervort LLC,Mann-Cassin,92860.27
2017/08/14,Jones-Lind,"Cormier, Botsford and Krajcik",12727.35
2017/03/12,Olson-Pollich,Gottlieb-Barton,34011.38
2015/02/27,Kub and Sons,Armstrong Inc,29325.32
2015/07/30,Casper and Sons,Fritsch-Considine,10146.54
2014/10/02,"Mayert, Bergstrom and Quigley",Bechtelar-Huel,11541.78
2014/10/20,"Rempel, Yost and Ritchie",Altenwerth Group,15022.07
2016/03/25,"Heathcote, Bosco and Jacobs",Lynch-Powlowski,45821.55
2016/11/03,"Ferry, Kutch and Bradtke",Olson-Bayer,61825.31
2015/08/19,"Sanford, Christiansen and Bins","Hickle, Weissnat and Bailey",5450.91
2015/07/19,Hartmann Group,Bosco-Crona,15164.31
2017/06/05,"Hermann, Kris and Vandervort",Romaguera-Tillman,7860.1
2017/04/08,Stiedemann and Sons,"Adams, Stiedemann and Haag",54834.87
2017/01/07,"O'Keefe, Funk and Bins",Stamm Inc,35113.99
2015/09/21,McKenzie LLC,Kessler-Harvey,74146.95
2014/10/16,MacGyver and Sons,"Jones, Fritsch and Terry",13137.69
2017/09/29,O'Conner-Fahey,Miller-Schmitt,1813.25
2016/09/13,Romaguera and Sons,Larkin-McKenzie,65494.93
2014/11/10,"Lindgren, Walter and Weissnat",O'Hara-Kling,11502.18
2017/07/12,Ziemann and Sons,Kris-Gibson,6046.0
2015/06/13,Barrows Inc,Skiles-Nicolas,3874.25
2017/02/03,"Hand, Kuphal and Berge",Gutkowski Group,48584.67
2017/02/10,Koch-Ankunding,Johns LLC,97427.61
2015/05/10,Barton Group,O'Reilly Inc,75158.79
2015/05/04,"Runte, Fadel and Connelly","Hudson, Schulist and Kirlin",43890.98
2016/07/04,"Flatley, Boyle and Hayes",Batz and Sons,18238.77
2015/10/27,MacGyver-Ebert,Renner-Marks,50282.78
2015/02/23,Herman-Bernhard,Cronin-Schamberger,44318.76
2016/10/31,"Dickens, Zieme and Barrows",Okuneva Group,32584.25
2016/06/08,"Greenfelder, Schneider and Gerhold","Mann, Haley and Pouros",37716.41
2014/12/15,Jones and Sons,Feest and Sons,4868.77
2016/02/08,Wisoky Group,"Kemmer, Kessler and Fay",17493.66
2015/08/16,"Hettinger, Hilpert and Macejkovic",Marquardt-Wolff,3876.62
2016/04/03,Veum Group,Kreiger-Anderson,91321.56
2014/09/19,Grady and Sons,King Group,41970.84
2016/03/19,Green Group,Wolff-Emmerich,97680.29
2016/09/21,Renner LLC,"Keebler, Lindgren and Stark",13108.54
2017/06/06,Murazik-Brown,"Reichert, Littel and Jenkins",8282.46
2017/07/16,Swaniawski-Kuhlman,"Kuhlman, Frami and Sanford",66357.77
2016/04/09,Hamill and Sons,"Jaskolski, Swift and Gulgowski",44616.52
2014/10/19,Armstrong-Bradtke,Metz and Sons,6542.97
2016/10/02,Quigley Group,Renner Group,67320.94
2015/12/22,Ledner LLC,Rogahn Inc,37329.07
2017/06/30,Bradtke Inc,"Medhurst, Lehner and Greenfelder",29795.76
2017/01/05,Monahan LLC,Flatley LLC,18993.24
2015/03/28,Pfannerstill and Sons,Rempel Group,32852.58
2017/04/14,Ratke-Weber,Mraz LLC,88831.22
2017/02/01,Funk-Kertzmann,Feil-DuBuque,24052.35
2015/05/10,Bechtelar Inc,Schmidt and Sons,43066.89
2017/03/04,"Welch, Schuster and Bayer","Feeney, Kutch and Carroll",55348.94
2017/05/03,Lynch and Sons,"Koss, Runte and Cummerata",17013.09
2015/03/04,Pacocha-Halvorson,"Leannon, Grady and Block",75768.16
2016/05/02,"Bode, Hirthe and Gleason",Bednar LLC,44788.48
2016/05/13,"Heathcote, Schiller and Leannon",Champlin-Beer,68124.71
2015/01/20,"Tromp, Auer and Weimann",Barrows-Jacobson,78945.78
2015/07/05,Schuppe Group,Schowalter-Abbott,69362.96
2015/01/25,"Jenkins, Treutel and Blick","Beatty, Daniel and Bernier",21054.49
2014/12/12,White LLC,Hackett-Smitham,36554.96
2017/09/11,Boehm LLC,Prohaska Group,49197.75
2015/10/11,"Balistreri, Murray and O'Connell",Kilback-Crist,19200.98
2015/07/01,"Weber, Koepp and Lind",Schmidt-Wolff,52000.31
2016/11/21,Beatty-Armstrong,Volkman Inc,45198.19
2016/08/20,Brown-Erdman,Green-Feest,19701.41
2015/08/23,Shields-Steuber,Zulauf-Schinner,61154.19
2015/06/30,McClure Group,Haag-Gislason,54800.55
2015/04/01,"Homenick, Steuber and O'Keefe",Schumm Group,60360.37
2016/07/05,"Auer, Cremin and Lindgren","Kirlin, Mante and Schiller",82356.3
2017/04/22,Reilly LLC,Reichert Inc,71868.5
2015/04/21,Hackett and Sons,"Schuppe, Douglas and McCullough",47300.59
2016/03/01,Ondricka-Witting,"Hudson, Mosciski and Ebert",28081.39
2017/05/28,"Hettinger, Pfannerstill and Herzog",Lang Inc,74192.0
2016/12/06,Zulauf-O'Keefe,Watsica Group,63780.14
2014/11/27,Armstrong Group,Smith-Daniel,42607.34
2016/04/29,Hand Group,Ullrich LLC,5899.92
2015/08/11,Cummings Inc,Blick Group,98212.6
2015/05/21,"Hauck, Herzog and Mitchell",Skiles and Sons,83998.7
2015/12/01,"Quitzon, Stanton and Lowe",Goyette-Kuhn,5764.8
2015/05/02,Collins-Altenwerth,Gibson LLC,32652.67
2016/06/25,"O'Hara, Harber and Tromp",MacGyver-Jacobson,67425.52
2017/03/07,Krajcik-Steuber,"Osinski, Cormier and Heathcote",31630.27
2015/12/22,Kohler LLC,Bernier-Schroeder,58149.54
2016/05/08,"Yost, Gutkowski and Bartell",Dibbert and Sons,43569.5
2016/08/20,"Wisoky, Lueilwitz and Block",Hirthe-Pacocha,35255.62
2014/10/02,Bashirian Inc,Kozey-Casper,18950.09
2016/05/26,O'Keefe-Koepp,Bechtelar-Purdy,31794.1
2016/07/29,Wolf-Doyle,"Sauer, Deckow and Pouros",72792.0
2015/02/23,"Wintheiser, Kerluke and Gusikowski","Weimann, Leuschke and Kassulke",33254.61
2016/05/14,"Lebsack, Dickens and Stoltenberg",Schowalter-Mann,22218.03
2015/10/17,Lueilwitz-DuBuque,"Wisoky, Simonis and Metz",14343.14
2016/01/17,Weber LLC,Bruen Group,84618.91
2017/08/13,Kautzer Group,"Batz, Russel and Weimann",33273.87
2014/10/28,Schmitt-Deckow,"Dibbert, Larson and White",81572.54
2016/05/05,Schumm LLC,"Ortiz, Lakin and Lynch",21503.43
2015/04/24,"Quitzon, Ryan and Schiller",Haag-Parker,5435.22
2015/10/03,Borer-Smith,Klein-Adams,81770.8
2015/04/03,King-Wolff,Batz-Towne,43703.11
2017/05/31,"Christiansen, Stiedemann and Ratke",Morar-Rice,2177.11
2016/03/13,Wolff LLC,"Douglas, Terry and Kemmer",99329.46
2017/05/03,"Gerhold, Koss and Ankunding",Fritsch Group,55425.73
2017/06/29,Thompson LLC,Bogan Inc,62317.42
2014/09/01,Collier-Wiza,"Bogan, Klocko and Johns",47032.39
2016/11/03,Lockman-Reinger,Hettinger-Johnson,96894.75
2016/12/22,Wuckert Inc,Berge-Schaefer,69194.18
2015/03/09,Yost Group,"Lind, Conn and Hansen",83243.2
2014/12/04,Ernser-Balistreri,"Bayer, Abbott and Bergstrom",24890.5
2016/12/30,"Lind, Leuschke and O'Keefe",Hilll Group,8328.2
2016/01/07,"Emmerich, Altenwerth and Rice","Fritsch, Zulauf and Farrell",13912.6
2015/11/13,Huel Inc,Cole-Sauer,94169.75
2016/02/10,"Lowe, Kihn and Howell",Mraz-Goyette,64639.46
2015/05/01,"Waelchi, Reichert and Brekke","White, Zieme and Balistreri",24666.02
2015/02/06,Cassin Group,Klocko Inc,72955.85
2017/08/04,"Dicki, Daugherty and Schowalter",Kohler-Rolfson,31213.85
2016/06/15,"Fahey, Witting and Pagac","Conroy, Auer and Buckridge",28446.53
2016/10/18,Jones-Prosacco,Hintz and Sons,14530.53
2016/01/15,"Connelly, Jakubowski and Cormier","Krajcik, Schowalter and Adams",77668.22
2017/01/14,Schultz and Sons,Medhurst and Sons,9859.53
2017/07/18,Mann Group,"Haley, Christiansen and O'Conner",45687.72
2015/12/09,"Klocko, Swaniawski and Brakus",Rodriguez and Sons,6902.46
2017/03/22,Deckow-Crist,Spencer-Rodriguez,71607.58
2015/03/20,Bashirian Inc,"Smitham, Larkin and King",67949.64
2015/08/24,Luettgen Group,"Cartwright, Boyer and Dooley",64703.0
2015/08/10,"Lind, Kozey and Raynor",Davis and Sons,51520.57
2017/02/05,Marquardt and Sons,"Bernier, Bartell and Gleichner",73206.88
2017/02/04,Blick-Purdy,Hauck-McKenzie,70352.87
2016/08/11,Ryan and Sons,Rau-Conn,2313.88
2016/01/24,Weimann-Runte,"Torphy, Zemlak and Rippin",75353.9
2015/06/27,"Schulist, Lueilwitz and Wyman",Murazik and Sons,89228.4
2015/10/10,Crist Inc,Emmerich LLC,4336.31
2014/09/04,O'Reilly LLC,Collins-Hackett,4920.68
2016/10/13,"Becker, Heaney and Fritsch",Stroman Group,42245.9
2015/01/02,Larson LLC,Schmitt and Sons,96942.69
2016/04/13,"Ratke, Cartwright and Gleason","Barrows, Crona and Tillman",29577.02
2015/02/13,O'Reilly and Sons,"Harris, Bruen and Swaniawski",39637.86
2017/07/05,"Kris, Schmeler and Schiller","Krajcik, Bruen and Cormier",76212.69
2015/02/27,"Keeling, Schaefer and Zboncak",Padberg-Fay,60345.58
2017/06/13,"Wehner, Waters and Wiza",Schaden-Torp,60098.27
2016/01/02,Murphy-Weber,"Block, Satterfield and Wolf",54796.86
2017/09/22,Bauch-Roberts,Zieme Group,24006.46
2014/12/27,"Parisian, Pollich and Sanford",Macejkovic LLC,57366.21
2015/10/04,Daugherty-Hintz,Rosenbaum and Sons,28694.61
2015/03/31,Rowe-Johnson,Gottlieb-Tromp,60132.37
2015/07/27,Borer LLC,Padberg LLC,16790.25
2017/08/28,Wolff-Daugherty,"Hahn, Maggio and Tillman",74633.36
2016/01/17,"Bergstrom, Cole and Stokes",Bins Group,19572.03
2015/08/19,Lakin Group,"Schowalter, Ratke and Lakin",7130.26
2016/07/10,Romaguera-Williamson,Howell LLC,85983.26
2017/04/25,"Dibbert, Blanda and Feeney",Cartwright-Konopelski,2010.12
2017/01/07,Abbott-Bernier,"Thompson, Ebert and Casper",36836.55
2016/09/29,"Lesch, Reynolds and Bradtke",Heathcote-Jacobi,12395.05
2016/04/26,"Johnson, Brown and Jerde","Sauer, Hudson and Bashirian",74054.94
2017/06/28,"Wiegand, Cole and Larkin","Gutkowski, Schinner and Olson",34604.26
2017/06/15,Kris-Stark,Jakubowski-Crona,51663.67
2015/09/03,"Fahey, Gusikowski and Bergstrom","Ritchie, Dietrich and Hintz",4396.54
2016/08/27,"Reichert, Maggio and Ratke",Haley LLC,74651.64
2015/09/17,Rempel Group,"Abbott, Trantow and Terry",38110.26
2017/04/21,"Mohr, Schuster and Kihn",Gislason-Kshlerin,89969.97
2016/01/10,"Little, Gaylord and Goldner",Senger LLC,10661.51
2017/01/12,Thiel-Oberbrunner,Hermiston Group,76158.46
2016/10/16,Mraz LLC,Bruen Inc,35882.01
2016/08/16,Rolfson and Sons,Yost Group,96626.37
2015/09/04,"Carter, Hills and McKenzie",Kilback Inc,17091.13
2016/05/03,Volkman-Klein,Fadel-Jast,14783.04
2016/06/07,Kemmer-Cruickshank,Beahan LLC,34614.51
2017/04/24,Ryan Group,Trantow Inc,90245.12
2017/06/10,Hyatt LLC,Cummerata-Kulas,13335.91
2015/01/10,Kautzer and Sons,Olson-Casper,44294.24
2015/01/14,Dare LLC,"Johns, Murazik and Runte",69987.01
2016/10/02,"Goyette, Bernier and Trantow","Stehr, Fadel and Orn",39501.2
2017/03/02,Waters and Sons,Reynolds Inc,85158.96
2017/01/30,Kuhlman-Corkery,Fritsch and Sons,35883.62
